# Chiayi Net Precipitation [mm] (max: 2013/8)
 -35.9,   1.2, -18.5, 390.8,  83.9, 397.3,  -9.4, 358.8, 166.8, -91.6, -72.8, -61.5
 -39.4, -28.5, -64.7, -53.7, -82.4, 317.2, 236.1, -71.0, -32.7, -44.2, -44.2, -14.5
 -22.5,  79.1,  22.2, 238.3,  12.6,  79.2, 373.0, 417.5,  30.7, -92.0, -71.8, -60.0
 -62.4, -70.2,  64.3,  38.3,  87.4, 277.8,  25.2,   6.7,  -3.0, -97.1, -16.1, -66.4
 -41.8,  17.3, -37.9, -87.5,  83.5, 155.7, 278.7, 814.3, 134.8, -87.1, -68.6, -46.1
 -57.6, -24.6, -20.0, -42.3,  35.1, 258.8,  38.8,   1.1, -29.6, -81.6, -75.9, -69.5
 -50.7, -56.2, -77.6,  46.0, 262.5, -58.9, 219.6, 454.8, -75.0, -64.1, -59.0, -63.3
 -30.5,  22.1,  63.0, -54.2,  63.4, 343.7, 369.1, 538.8, 143.6, -90.7, -74.1, -58.6
  46.2, 361.5,  61.9,  87.3, 113.3, 503.3,  -7.0, 269.1, -17.8,  70.0, -66.8,  -6.3
 -53.7, -69.4, -71.2, -61.3, 124.6, -64.8, 431.7, 494.5, -36.8, -56.9, -66.0, -28.4
 -61.6,   8.9, -56.6,  62.8, -87.3,  80.6, 148.5, 339.6, -60.9, -42.1, -48.3, -31.8
  11.7, -62.4, -55.2,   4.7, 240.2, 283.0, 467.6,   4.9,1236.0, -84.7, -67.6, -56.5
 -33.5, -73.7, -81.2,-108.7,  96.0, -41.1, 552.4,  20.8,  51.4,-106.1, -74.8,  -4.1
 -40.4, -51.9, -67.1,  32.8, -64.3, 187.9, -74.8, 154.9, -56.3, -78.2, -69.5, -78.0
 -60.2, -32.6, -52.8, -26.2, -76.4,-105.9, 601.7, 171.4,  -3.5, -97.8, -73.2,  19.6
 -61.4,  86.1,  73.8, -32.8, 154.8, 742.3, 571.2, 315.6, 205.3,  -7.8, -68.0, -68.8
 -52.5, -64.2, -13.7,  35.2,  45.7, 693.5, 507.1,  72.5, 128.4, -92.7,  12.6, -37.3
   4.3, -56.3, -58.6,  -8.6,  64.7, 185.9, -66.8, 712.8, 103.0, 158.3, -44.6, -68.7
 -37.1, -36.7, -76.7, -74.3, -49.3, 164.1, 936.1, 140.1, 526.0, -53.2, -57.9, -64.9
 -70.5, -68.0,  -1.0,   0.9,-121.5, 120.8,  55.8, 822.7,  64.3, -99.4, -64.0, -46.8
 -42.0,  -5.8, -97.2, -18.6, -17.8, 158.3, 311.1,  63.0, 144.7, -84.6, -26.0, -34.6
 -30.8, -44.9, -28.6,-106.6,  34.5,   3.7,  38.8, -28.5, -14.0, -62.3, 123.5, -39.5
 -28.8,  29.4, -84.8,  20.1,  70.3, 395.1, 249.7, 598.1, -37.6,-102.9,  29.9, -10.8
 -38.1, -76.4, -44.1,  81.4, 267.4, -47.3, 186.9,1253.5,  26.3,-102.6, -57.0, -12.4
 -68.6, -22.9, -24.2, -71.6, 144.5, 252.6,  47.3, 113.6, -15.4,-109.3, -71.2, -20.4
 -57.0, -37.3, -76.7, -32.2, 288.2,-126.3,  95.0, 451.2, 223.5, -76.1, -75.3, -35.4
  99.5, -51.6,  66.2,  86.5,-111.5, 124.7,  60.0,  70.8, 541.9, -74.8, -23.2, -62.2
 -69.2, -70.1, -81.8,  -8.0, -49.6, 445.4, 521.9,  45.3, -25.0, -43.6, -73.3, -67.5
  17.3, -38.9, -80.1,-124.0,-130.1, 291.6, 242.7, 737.9, -20.6,-112.3, -72.7, -91.9
 -72.4, -85.0,  19.5, -53.5, 148.0, 206.8, 216.4, 546.3,  11.8,-120.0, -96.7,  53.8
 -64.3, -77.9, -52.7, -78.8, 158.3, -37.6, -31.6, 144.4,-108.6,-120.7, -72.2, -50.7
 -65.3, -83.0,-102.5,-109.9, -64.5, 623.7, 117.0, 752.5, -83.0,-104.6, -84.0, -56.5
 -30.0,  49.7, -24.9, -12.1, 194.9, 120.2, -87.9, 267.1, -10.3,-108.2, -91.2, -44.0
 -69.2, -88.2,-101.4, -36.7,  34.2, 109.5, 105.2,  69.8, 302.0, -68.5,-120.5, -81.1
